genus,family
Rhagerhis,Lamprophiidae
Rhamnophis,Colubridae
Rhamphiophis,Psammophiidae
Rhampholeon,Chamaeleonidae
Rhinechis,Colubridae
Rhineura,Rhineuridae
Rhinobothryum,Colubridae
Rhinocheilus,Colubridae
Rhinogecko,Gekkonidae
Rhinoleptus,Leptotyphlopidae
Rhinophis,Uropeltidae
Rhinoplocephalus,Elapidae
Rhinotyphlops,Typhlopidae
Rhoptropella,Gekkonidae
Rhoptropus,Gekkonidae
Rhynchocalamus,Colubridae
Rhynchoedura,Diplodactylidae
Riama,Gymnophthalmidae
Rieppeleon,Chamaeleonidae
Riolama,Gymnophthalmidae
Ristella,Scincidae
Rodriguesophis,Colubridae
Saara,Agamidae
Saiphos,Scincidae
Salea,Agamidae
Salomonelaps,Elapidae
Saltuarius,Carphodactylidae
Salvadora,Colubridae
Salvator,Teiidae
Sanzinia,Boidae
Saphenophis,Colubridae
Saproscincus,Scincidae
Saurodactylus,Sphaerodactylidae
Sauromalus,Iguanidae
Scaphiodontophis,Colubridae
Scaphiophis,Colubridae
Scelarcis,Lacertidae
Sceloporus,Phrynosomatidae
Scelotes,Scincidae
Scincella,Scincidae
Scincopus,Scincidae
Scincus,Scincidae
Scolecophis,Colubridae
Scolecoseps,Scincidae
Scriptosaura,Gymnophthalmidae
Seminatrix,Colubridae
Senticolis,Colubridae
Sepsina,Scincidae
Sepsophis,Scincidae
Shinisaurus,Shinisauridae
Siagonodon,Leptotyphlopidae
Sibon,Colubridae
Sibynomorphus,Colubridae
Sibynophis,Colubridae
Sigaloseps,Scincidae
Silvascincus,Scincidae
Simalia,Pythonidae
Simiscincus,Scincidae
Simophis,Colubridae
Simoselaps,Elapidae
Sinomicrurus,Elapidae
Sinonatrix,Colubridae
Siphlophis,Colubridae
Sirenoscincus,Scincidae
Sistrurus,Viperidae
Sitana,Agamidae
Smaug,Cordylidae
Sonora,Colubridae
Sordellina,Colubridae
Spalerosophis,Colubridae
Sphaerodactylus,Sphaerodactylidae
Sphenodon,Sphenodontidae
Sphenomorphus,Scincidae
Spilotes,Colubridae
Spondylurus,Scincidae
Stegonotus,Colubridae
Stellagama,Agamidae
Stenocercus,Tropiduridae
